ID	GRWS002D_ACAGTG_L002_R1_001.fastq	GRWS002D_ACAGTG_L002_R1_002.fastq	GRWS002D_ACAGTG_L002_R1_003.fastq	GRWS002D_ACAGTG_L002_R2_001.fastq	GRWS002D_ACAGTG_L002_R2_002.fastq	GRWS002D_ACAGTG_L002_R2_003.fastq	GRWS002E_GCCAAT_L002_R1_001.fastq	GRWS002E_GCCAAT_L002_R1_002.fastq	GRWS002E_GCCAAT_L002_R1_003.fastq	GRWS002E_GCCAAT_L002_R2_001.fastq	GRWS002E_GCCAAT_L002_R2_002.fastq	GRWS002E_GCCAAT_L002_R2_003.fastq	GRWS002F_CAGATC_L002_R1_001.fastq	GRWS002F_CAGATC_L002_R1_002.fastq	GRWS002F_CAGATC_L002_R1_003.fastq	GRWS002F_CAGATC_L002_R2_001.fastq	GRWS002F_CAGATC_L002_R2_002.fastq	GRWS002F_CAGATC_L002_R2_003.fastq	GRWS002G_ACTTGA_L002_R1_001.fastq	GRWS002G_ACTTGA_L002_R1_002.fastq	GRWS002G_ACTTGA_L002_R1_003.fastq	GRWS002G_ACTTGA_L002_R2_001.fastq	GRWS002G_ACTTGA_L002_R2_002.fastq	GRWS002G_ACTTGA_L002_R2_003.fastq	GRWS002H_GATCAG_L002_R1_001.fastq	GRWS002H_GATCAG_L002_R1_002.fastq	GRWS002H_GATCAG_L002_R1_003.fastq	GRWS002H_GATCAG_L002_R2_001.fastq	GRWS002H_GATCAG_L002_R2_002.fastq	GRWS002H_GATCAG_L002_R2_003.fastq	GRWS002I_TAGCTT_L002_R1_001.fastq	GRWS002I_TAGCTT_L002_R1_002.fastq	GRWS002I_TAGCTT_L002_R1_003.fastq	GRWS002I_TAGCTT_L002_R2_001.fastq	GRWS002I_TAGCTT_L002_R2_002.fastq	GRWS002I_TAGCTT_L002_R2_003.fastq	GRWS002J_GGCTAC_L002_R1_001.fastq	GRWS002J_GGCTAC_L002_R1_002.fastq	GRWS002J_GGCTAC_L002_R1_003.fastq	GRWS002J_GGCTAC_L002_R2_001.fastq	GRWS002J_GGCTAC_L002_R2_002.fastq	GRWS002J_GGCTAC_L002_R2_003.fastq	GRWS002K_CTTGTA_L002_R1_001.fastq	GRWS002K_CTTGTA_L002_R1_002.fastq	GRWS002K_CTTGTA_L002_R1_003.fastq	GRWS002K_CTTGTA_L002_R2_001.fastq	GRWS002K_CTTGTA_L002_R2_002.fastq	GRWS002K_CTTGTA_L002_R2_003.fastq	GRWS002L_AGTCAA_L002_R1_001.fastq	GRWS002L_AGTCAA_L002_R1_002.fastq	GRWS002L_AGTCAA_L002_R1_003.fastq	GRWS002L_AGTCAA_L002_R2_001.fastq	GRWS002L_AGTCAA_L002_R2_002.fastq	GRWS002L_AGTCAA_L002_R2_003.fastq	GRWS002M_ATCACG_L002_R1_001.fastq	GRWS002M_ATCACG_L002_R1_002.fastq	GRWS002M_ATCACG_L002_R1_003.fastq	GRWS002M_ATCACG_L002_R2_001.fastq	GRWS002M_ATCACG_L002_R2_002.fastq	GRWS002M_ATCACG_L002_R2_003.fastq	GRWS002N_AGTTCC_L002_R1_001.fastq	GRWS002N_AGTTCC_L002_R1_002.fastq	GRWS002N_AGTTCC_L002_R1_003.fastq	GRWS002N_AGTTCC_L002_R1_004.fastq	GRWS002N_AGTTCC_L002_R2_001.fastq	GRWS002N_AGTTCC_L002_R2_002.fastq	GRWS002N_AGTTCC_L002_R2_003.fastq	GRWS002N_AGTTCC_L002_R2_004.fastq	GRWS002O_ATGTCA_L002_R1_001.fastq	GRWS002O_ATGTCA_L002_R1_002.fastq	GRWS002O_ATGTCA_L002_R1_003.fastq	GRWS002O_ATGTCA_L002_R1_004.fastq	GRWS002O_ATGTCA_L002_R2_001.fastq	GRWS002O_ATGTCA_L002_R2_002.fastq	GRWS002O_ATGTCA_L002_R2_003.fastq	GRWS002O_ATGTCA_L002_R2_004.fastq	GRWS002P_CCGTCC_L002_R1_001.fastq	GRWS002P_CCGTCC_L002_R1_002.fastq	GRWS002P_CCGTCC_L002_R1_003.fastq	GRWS002P_CCGTCC_L002_R2_001.fastq	GRWS002P_CCGTCC_L002_R2_002.fastq	GRWS002P_CCGTCC_L002_R2_003.fastq	GRWS002Q_GTAGAG_L002_R1_001.fastq	GRWS002Q_GTAGAG_L002_R1_002.fastq	GRWS002Q_GTAGAG_L002_R1_003.fastq	GRWS002Q_GTAGAG_L002_R2_001.fastq	GRWS002Q_GTAGAG_L002_R2_002.fastq	GRWS002Q_GTAGAG_L002_R2_003.fastq
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	47.35828	42.66153	57.82936	45.99151	46.90547	53.07073	19.46885	22.22738	15.91947	22.17248	20.85523	16.66081	76.18165	76.89215	77.81379	74.16341	76.19971	77.35778	54.94256	55.06765	51.75686	56.42982	55.623	56.13357	67.08533	68.97686	68.8793	67.01876	68.82236	69.41317	86.51657	87.44167	88.80895	85.92712	87.36545	86.50272	20.76661	19.61842	20.59457	20.6716	21.76609	21.46172	69.39711	69.63049	72.77512	65.30491	68.84885	65.72622	74.95964	75.07873	70.01598	75.81758	74.76077	70.96744	59.18228	60.84281	60.63027	60.35067	60.33868	59.84787	82.04275	83.18503	82.60839	100	82.55041	82.49758	82.9372	100	45.21425	43.34585	40.52932	40.10212	42.9225	42.11702	41.25515	46.89701	14.7441	13.25508	15.25133	14.89598	13.42141	14.79596	89.39749	88.73582	90.15043	88.6839	88.10634	90.83156
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	47.35828	42.66153	57.82936	45.99151	46.90547	53.07073	19.46885	22.22738	15.91947	22.17248	20.85523	16.66081	76.18165	76.89215	77.81379	74.16341	76.19971	77.35778	54.94256	55.06765	51.75686	56.42982	55.623	56.13357	67.08533	68.97686	68.8793	67.01876	68.82236	69.41317	86.51657	87.44167	88.80895	85.92712	87.36545	86.50272	20.76661	19.61842	20.59457	20.6716	21.76609	21.46172	69.39711	69.63049	72.77512	65.30491	68.84885	65.72622	74.95964	75.07873	70.01598	75.81758	74.76077	70.96744	59.18228	60.84281	60.63027	60.35067	60.33868	59.84787	82.04275	83.18503	82.60839	100	82.55041	82.49758	82.9372	100	45.21425	43.34585	40.52932	40.10212	42.9225	42.11702	41.25515	46.89701	14.7441	13.25508	15.25133	14.89598	13.42141	14.79596	89.39749	88.73582	90.15043	88.6839	88.10634	90.83156
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00323	0.00522	0.01467	0.01983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0	0	0.01417	0	0	0	0	0	0	0	0.05008	0.07341	0.06048	0.09061	0.07827	0.04332	0.16924	0.23407	0.10812	0.10816	0.1732	0.08582	0.28379	0.18607	0	0.23377	0.25243	0.11969	0.28193	0.21845	0.3105	0.27345	0.38105	0.44347	0.0383	0.03239	0.01671	0	0.07234	0.04292	0.03819	0	0.03329	0.02382	0.02433	0	0.0483	0.0473	0.04856	0	0.09761	0.08402	0.0778	0.07566	0.07937	0.12567	0.04578	0.03339	0	0.02359	0.03536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0	0	0.01525	0	0	0	0.00734	0	0	0	0	0	0.00303	0	0	0	0	0	0.00615	0	0	0.02425	0.01965	0	0	0.04192	0	0.02823	0.01361	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0.05235	0	0	0.05178	0	0	0	0	0	0	0	0	0	0.01093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	47.35828	42.66153	57.82936	45.99151	46.90547	53.07073	19.46885	22.22738	15.91947	22.17248	20.85523	16.66081	76.1664	76.87798	77.81379	74.16341	76.19237	77.35778	54.94256	55.06765	51.75686	56.42982	55.623	56.13357	67.08533	68.97686	68.8793	67.01876	68.82236	69.41317	86.51657	87.44167	88.80895	85.92712	87.36545	86.50272	20.71653	19.54198	20.53409	20.58099	21.68782	21.4184	69.22787	69.39642	72.667	65.19675	68.67564	65.64039	74.61735	74.89266	70.01598	75.50779	74.48869	70.84776	58.90035	60.58244	60.31977	60.049	59.94403	59.4044	82.00446	83.15264	82.59168	100	82.47807	82.45466	82.89902	100	45.18096	43.32203	40.50499	40.10212	42.87421	42.06972	41.20659	46.89701	14.64649	13.16783	15.16831	14.80564	13.30743	14.67029	89.35171	88.70243	90.15043	88.66031	88.07098	90.83156
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	0	0	0	0	0	0.04608	0	0	0.04726	0.04637	0.03009	0.01136	0.01128	0	0.22686	0.02197	0	0	0.01499	0	0	0.01528	0	0.10478	0.10584	0	0	0.10083	0	0	0.00648	0	0	0	0	0	0	0	0.01844	0	0	0	0.03896	0.03157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0	0	0	0	0	0	0.04608	0	0	0.04726	0.04637	0.03009	0.01136	0.01128	0	0.22686	0.02197	0	0	0.01499	0	0	0.01528	0	0.10478	0.10584	0	0	0.10083	0	0	0.00648	0	0	0	0	0	0	0	0.01844	0	0	0	0.03896	0.03157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0.01136	0.01128	0	0.01181	0.02197	0	0	0.01499	0	0	0.01528	0	0	0	0.00648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0	0	0	0	0	0	0.04608	0	0	0.04726	0.04637	0.03009	0	0	0	0.21506	0	0	0	0.10478	0.10584	0	0	0.10083	0	0	0	0.01844	0	0	0	0.03896	0.03157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.83824	1.04666	0	0.78724	0.83589	0	0	2.05062	1.33975	1.2398	2.86779	2.26952	2.57433	0.7021	0.58695	0.51572	1.17674	0.89674	0.40871	2.20206	1.88085	1.79069	2.10652	2.23962	1.63211	1.70933	1.21534	1.59804	2.48157	2.16219	1.95339	1.88236	1.72966	1.66815	2.09814	2.08128	2.23935	11.90457	10.84271	10.58397	15.93572	12.87869	15.27276	6.96585	6.8895	7.30183	7.85815	8.35738	7.4763	13.04524	12.76564	12.05456	14.45475	15.00098	14.38651	6.67225	6.2208	6.49077	0	7.5947	7.06462	7.64437	0	1.52685	1.38394	1.65843	0	1.8067	1.72388	2.10115	0.22108	0.93439	0.87048	0.9373	1.12383	1.19477	1.35518	1.1605	0.9167	1.27487	1.19684	1.53461	1.62872	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.83824	1.04666	0	0.78724	0.83589	0	0	2.05062	1.33975	1.2398	2.86779	2.26952	2.57433	0.7021	0.58695	0.51572	1.17674	0.89674	0.40871	2.20206	1.88085	1.79069	2.10652	2.23962	1.63211	1.70933	1.21534	1.59804	2.48157	2.16219	1.95339	1.88236	1.72966	1.66815	2.09814	2.08128	2.23935	11.90457	10.84271	10.58397	15.93572	12.87869	15.27276	6.96585	6.8895	7.30183	7.85815	8.35738	7.4763	13.04524	12.76564	12.05456	14.45475	15.00098	14.38651	6.67225	6.2208	6.49077	0	7.5947	7.06462	7.64437	0	1.52685	1.38394	1.65843	0	1.8067	1.72388	2.10115	0.22108	0.93439	0.87048	0.9373	1.12383	1.19477	1.35518	1.1605	0.9167	1.27487	1.19684	1.53461	1.62872	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0	0.06116	0.06001	0	0.00811	0.07469	0	0	0.0527	0.07347	0	0.03782	0	0	0.0199	0.06312	0	0.1462	0.06313	0	0.18067	0.14156	0.1183	0.20267	0.17225	0.19564	1.00302	1.04533	0.96226	1.4063	1.27773	1.16724	0.65232	0.62578	0.31558	0.80141	0.78442	0.37441	0.93602	0.70657	0.63729	1.21412	1.00792	1.11371	0.56131	0.58444	0.48846	0	0.77544	0.82222	0.72401	0	0.17276	0.15634	0.22057	0	0.19016	0.16471	0.24719	0	0.07158	0.06019	0.03666	0.07168	0.08731	0.08683	0	0.00589	0	0	0.00624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified	0.83824	1.04666	0	0.78724	0.83589	0	0	1.98946	1.27974	1.2398	2.85968	2.19483	2.57433	0.7021	0.58695	0.51572	1.17674	0.89674	0.40871	2.14936	1.80738	1.79069	2.06871	2.23962	1.63211	1.68943	1.15222	1.59804	2.33537	2.09906	1.95339	1.70169	1.5881	1.54985	1.89547	1.90903	2.04372	10.90155	9.79738	9.62171	14.52942	11.60096	14.10552	6.31353	6.26372	6.98625	7.05673	7.57296	7.10189	12.10921	12.05908	11.41727	13.24063	13.99306	13.2728	6.11094	5.63635	6.00231	0	6.81926	6.2424	6.92036	0	1.3541	1.22759	1.43785	0	1.61654	1.55917	1.85396	0.22108	0.86281	0.81029	0.90064	1.05215	1.10745	1.26835	1.1605	0.91081	1.27487	1.19684	1.52837	1.62872	0	0	0	0	0
